"OriginalOrder","ID","Name","Grade","Value"
"1","8691","""Zoe Saldana""","7.73328629","5"
"7","27319","""Christoph Waltz""","8.80674609","5"
"8","121529","""Lea Seydoux""","8.80674609","5"
"15","2219","""Tobey Maguire""","8.90871626","5"
"16","205","""Kirsten Dunst""","8.90871626","5"
"17","17051","""James Franco""","8.90871626","5"
"27","880","""Ben Affleck""","8.73260194","5"
"28","73968","""Henry Cavill""","8.73260194","5"
"29","90633","""Gal Gadot""","8.73260194","5"
"40","5528","""William Moseley""","7.48806957","5"
"41","5529","""Anna Popplewell""","7.48806957","5"
"45","2888","""Will Smith""","8.16969268","5"
"51","37625","""Andrew Garfield""","7.52215857","5"
"52","54693","""Emma Stone""","7.52215857","5"
"53","7026","""Rhys Ifans""","7.52215857","5"
"55","112","""Cate Blanchett""","8.71368364","5"
"77","6968","""Hugh Jackman""","7.47862775","5"
"79","7904","""Billy Crystal""","7.43559607","5"
"80","1230","""John Goodman""","7.43559607","5"
"81","884","""Steve Buscemi""","7.43559607","5"
"83","19537","""Megan Fox""","8.36297228","5"
"84","19536","""Josh Duhamel""","8.36297228","5"
"96","10859","""Ryan Reynolds""","7.83112979","5"
"109","5530","""James McAvoy""","7.47862775","5"
"110","17288","""Michael Fassbender""","7.47862775","5"
"139","3036","""John Cusack""","7.69653595","5"
"140","2956","""Amanda Peet""","7.69653595","5"
"141","5294","""Chiwetel Ejiofor""","7.69653595","5"
"144","234352","""Margot Robbie""","7.45","5"
"145","5527","""Skandar Keynes""","7.48806957","5"
"146","72129","""Jennifer Lawrence""","8.47423452","5"
"156","6730","""Sacha Baron Cohen""","7.46921274","5"
"163","92404","""Joel Kinnaman""","7.45","5"
"174","56322","""Amy Poehler""","8.57611174","5"
"175","169200","""Phyllis Smith""","8.57611174","5"
"176","21125","""Richard Kind""","8.57611174","5"
"179","37917","""Kristen Stewart""","8.29","5"
"181","11701","""Angelina Jolie""","7.58539785","5"
"182","18050","""Elle Fanning""","7.58539785","5"
"183","82191","""Sharlto Copley""","7.58539785","5"
"189","6384","""Keanu Reeves""","7.38599701","5"
"192","12073","""Mike Myers""","9.19838758","5"
"193","776","""Eddie Murphy""","9.19838758","5"
"194","6941","""Cameron Diaz""","9.19838758","5"
"206","96066","""Liam Hemsworth""","8.47423452","5"
"208","8984","""Bill Pullman""","8.16969268","5"
"215","543530","""Dave Bautista""","7.73328629","5"
"218","24045","""Joseph Gordon-Levitt""","8.25532764","5"
"219","27578","""Ellen Page""","8.25532764","5"
"225","27972","""Josh Hutcherson""","8.47423452","5"
"249","7399","""Ben Stiller""","7.46921274","5"
"251","14409","""David Schwimmer""","7.46921274","5"
"254","2975","""Laurence Fishburne""","7.38599701","5"
"268","5469","""Ralph Fiennes""","7.52215857","5"
"310","5293","""Willem Dafoe""","8.21708551","5"
"332","11288","""Robert Pattinson""","8.29","5"
"333","84214","""Taylor Lautner""","8.29","5"
"378","2405","""Audrey Tautou""","7.67820459","5"
"402","69597","""Drew Barrymore""","7.92910554","5"
"405","529","""Guy Pearce""","8.21708551","5"
"414","17244","""Hayden Christensen""","8.5","5"
"532","4756","""Matthew Broderick""","7.88241776","5"
"540","5723","""John Leguizamo""","8.86686817","5"
"541","15757","""Ray Romano""","8.86686817","5"
"542","5713","""Chris Wedge""","8.77244782","5"
"572","5724","""Denis Leary""","8.86686817","5"
"607","15152","""James Earl Jones""","7.88241776","5"
"743","53283","""Jonathan Taylor Thomas""","7.88241776","5"
"753","52849","""Louis C.K.""","8.75958308","5"
"754","156962","""Eric Stonestreet""","8.75958308","5"
"755","55638","""Kevin Hart""","8.75958308","5"
"1014","54882","""Morena Baccarin""","7.83112979","5"
"1015","1047649","""Ed Skrein""","7.83112979","5"
"1040","5563","""James Coburn""","8.75958308","5"
"1167","532","""Joe Pantoliano""","7.88241776","5"
"1260","9976","""Henry Thomas""","7.92910554","5"
"2547","821","""Beverly D'Angelo""","7.58539785","5"
"2969","9978","""Robert MacNaughton""","7.92910554","5"
"4239","571","""Andrea Eckert""","8.77244782","5"
"4247","99","""Amanda Plummer""","7.92910554","5"
"4342","2112","""Brock Peters""","8.57611174","5"
"4566","695","""Roy Chiao""","7.92910554","5"
